GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene562	648	1663	960	1233	336	0
Gene563	3853	5231	2014	3676	2592	2976
Gene564	472	410	260	225	465	445
Gene565	2185	2472	1229	803	1239	920
Gene566	1849	2026	831	777	1160	2220
Gene567	813	1174	555	599	1202	145
Gene568	117	1273	355	507	79	0
Gene569	296	472	90	103	57	54
Gene570	86	103	0	0	113	26
Gene571	3535	6583	2205	2718	1754	2849
Gene572	182	97	29	25	91	193
Gene573	8	3	1	1	17	3
Gene574	16	21	4	0	0	0
Gene575	636	422	407	324	123	56
Gene576	7	12	6	5	2	2
Gene577	666	1198	1078	1828	693	1334
Gene578	824	2398	836	1105	730	2505
Gene579	375	740	593	393	729	1135
Gene580	1778	2313	1171	1417	1182	2166
Gene581	380	1679	1433	1520	85	283
Gene582	308	428	77	115	314	271
Gene583	17	9	7	5	8	30
Gene584	103	106	203	321	46	195
Gene585	1464	1779	914	1607	1145	4043
Gene586	638	1297	521	201	299	342
Gene587	180	0	43	49	167	0
Gene588	501	2013	880	1132	203	279
Gene589	1316	2621	444	486	809	0
Gene590	1194	654	330	292	775	560
Gene591	109	20	0	0	17	34
Gene592	70	8	0	0	13	0
Gene593	6745	12407	4636	7224	3249	5787
Gene594	15	42	0	0	0	0
Gene595	840	1577	220	240	818	1646
Gene596	178	111	35	139	96	0
Gene597	441	1909	681	898	309	322
Gene598	919	724	549	642	686	912
Gene599	30	0	0	0	0	0
Gene600	513	1869	1655	821	330	497
Gene601	2473	4913	2251	2533	1037	2671
Gene602	227	104	104	94	140	58
Gene603	555	481	75	48	412	179
Gene604	1340	2687	1114	1349	975	617
Gene605	92	182	472	95	87	0
Gene606	220	169	44	54	44	35
Gene607	606	790	308	319	709	2246
Gene608	520	1016	336	751	447	56
Gene609	5067	5637	2777	2686	2445	7140
Gene610	161	1305	259	604	232	115
Gene611	480	0	0	0	0	0
Gene612	406	626	896	770	504	1076
Gene613	40	215	29	38	0	122
Gene614	451	392	138	200	204	1013
Gene615	3949	7550	2872	3033	2679	4590
Gene616	48	78	10	14	10	0
Gene617	5628	9904	4089	4181	4376	4308
Gene618	310	692	304	252	272	184
Gene619	1218	2295	1396	1869	707	228
Gene620	458	1930	421	387	802	1542
Gene621	64	237	244	544	38	0
Gene622	366	1788	524	473	226	214
Gene623	441	473	307	308	413	712
Gene624	2485	4296	2420	6973	1282	2832
Gene625	460	1830	470	218	183	61
Gene626	56	501	80	46	24	0
Gene627	102	243	21	0	0	0
Gene628	657	498	136	52	511	398
Gene629	1979	1199	721	418	1403	541
Gene630	2023	91	0	397	1154	1
Gene631	20	30	7	6	10	16
Gene632	49	5	0	0	0	0
Gene633	544	764	1064	2826	376	94
Gene634	6006	10309	3218	4348	4476	6885
Gene635	10	3	0	0	41	0
Gene636	877	720	618	1364	393	408
Gene637	1235	1543	315	598	131	529
Gene638	504	368	88	116	106	263
Gene639	4987	5815	1818	1816	2602	3054
Gene640	6499	12905	5205	4274	2170	9930
Gene641	706	1448	641	487	455	212
Gene642	364	934	261	139	556	995
Gene643	39	9	0	0	73	123
Gene644	16	23	10	12	16	6
Gene645	2285	3126	796	995	1393	1230
Gene646	138	108	152	29	239	353
Gene647	13427	14544	8336	3379	4074	7214
Gene648	490	885	214	341	618	239
Gene649	1883	5717	1679	1637	1038	1953
Gene650	504	331	150	61	271	1504
Gene651	907	84	0	0	1409	0
Gene652	421	1116	594	572	379	148
Gene653	759	1302	643	982	644	1156
Gene654	4075	3714	1543	5237	1847	1918
Gene655	5232	13989	5862	5516	3782	4004
Gene656	148	613	140	189	144	0
Gene657	6201	16783	3967	3468	3044	12400
Gene658	2777	5006	1915	1345	2145	1743
Gene659	3022	4281	2119	2425	1530	3086
Gene660	36	102	47	58	40	0
Gene661	251	145	67	45	194	116
Gene662	337	715	476	432	525	1099
